order_id,order_date,customer_id,customer_name,region,product_category,product_name,quantity,unit_price,discount_pct,sales_rep,status
1001,03/01/2024,C0042,Hartley Supplies Ltd,North,Office Supplies,Stapler Pro 200,3,12.99,0,Sarah Mitchell,Completed
1002,05/01/2024,C0017,Brennan & Co.,South,Technology,Wireless Mouse X1,5,24.5,10,James Ford,Completed
1003,05/01/2024,C0091,N/A,East,Furniture,Ergonomic Chair,1,349,0,Amy Chen,Completed
1004,08/01/2024,C0042,Hartley Supplies Ltd,North,Technology,USB Hub 7-Port,2,34.99,5,Sarah Mitchell,Completed
1005,9th January 2024,C0055,Pinnacle Media,West,Office Supplies,Printer Paper A4 (500pk),10,8.75,0,Daniel Ray,Completed
1006,10/01/2024,C0033,Morrison Digital,South,Technology,Wireless Mouse X1,3,24.5,0,James Ford,Completed
1007,15/01/2024,C0078,Ashford Group,East,Furniture,Standing Desk Pro,2,599,15,Amy Chen,Completed
1008,17/01/2024,C0091,,East,Office Supplies,Sticky Notes Bulk Pack,8,4.2,0,Amy Chen,Completed
1009,19/01/2024,C0019,Langley Partners,North,Technology,Laptop Stand Adjustable,4,49.99,10,Sarah Mitchell,Completed
1010,22nd January 2024,C0055,Pinnacle Media,West,Technology,USB Hub 7-Port,1,34.99,0,Daniel Ray,Completed
1011,24/01/2024,C0033,Morrison Digital,South,Furniture,Ergonomic Chair,3,349,5,James Ford,Completed
1012,28/01/2024,C0017,Brennan & Co.,South,Office Supplies,Stapler Pro 200,2,12.99,0,James Ford,Completed
1013,01/02/2024,C0042,Hartley Supplies Ltd,North,Technology,Wireless Mouse X1,10,24.5,15,Sarah Mitchell,Completed
1014,3rd February 2024,C0101,Nexus Retail,West,Office Supplies,Printer Paper A4 (500pk),20,8.75,5,Daniel Ray,Completed
1015,06/02/2024,C0019,Langley Partners,North,Furniture,Standing Desk Pro,1,599,0,Sarah Mitchell,Completed
1016,06/02/2024,C0019,Langley Partners,NORTH,Furniture,Standing Desk Pro,1,599,0,Sarah Mitchell,Completed
1017,09/02/2024,C0078,Ashford Group,East,Technology,Laptop Stand Adjustable,6,49.99,0,Amy Chen,Completed
1018,11th February 2024,C0101,Nexus Retail,West,Technology,Wireless Mouse X1,8,24.5,10,Daniel Ray,Completed
1019,13th February 2024,C0055,Pinnacle media,West,Office Supplies,Sticky Notes Bulk Pack,15,4.2,0,Daniel Ray,Completed
1020,16/02/2024,C0033,Morrison Digital,South,Technology,USB Hub 7-Port,4,34.99,0,James Ford,Completed
1021,18/02/2024,C0042,Hartley Supplies Ltd,North,Office Supplies,Printer Paper A4 (500pk),12,8.75,0,Sarah Mitchell,Completed
1022,21/02/2024,C0017,Brennan & Co.,South,Technology,Laptop Stand Adjustable,2,49.99,5,James Ford,Completed
